relative_path,bytes,sha256,role,git_policy
data/DSC_6792.JPG,6072495,8E6F23542248F4E80FCD2AA9C956CB05F554E04E8594055BCFF34E52881E145B,real-to-virtual-original-still,external package only
data/DSC_6968.JPG,6453023,920376DF77A69F511E1C569EBE80DD4FF1B2833A5985E9DC4B5B3C834881C23B,real-to-virtual-original-still,external package only
data/DSC_6987.JPG,6439288,D001518AB3944FDD72B0033DAFB810FEB56B20CCDF54682D72A7708F1F48FA22,real-to-virtual-original-still,external package only
data/DSC_6988.JPG,6566427,0D428913039772433E01CADD3BFC542E8B612410509FA920DE575D8B3EC2A1E6,real-to-virtual-original-still,external package only
data/DSC_6993.JPG,6473841,CCA7FD5D09C81AFFA332E1BBE5232660532699BAB1B5835E78558852502F3FE1,real-to-virtual-original-still,external package only
data/DSC_6995.JPG,6590454,79114C442DE06D7D2230443B705075C3F0F6709D0DBF1A71B8AA6F2DD87A4324,real-to-virtual-original-still,external package only
data/DSC_6996.JPG,6331481,30CA45B21E3FDDA0EA624EB4B709193B4F456EADAB7AD9888794231EDCBFBBE4,real-to-virtual-original-still,external package only
data/DSC_6997.JPG,6330345,C2918ACDD9345665D57092DC662BD8F2848CC876181E29032E97B667CA6FB1F9,real-to-virtual-original-still,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取木棍到容器里-俯腕视角/6月21日(2)/6月21日(2).mp4,3701598,34B230EBA43D82A62BF658CBD607581749A495E3BEFE78A886D9C68324FFB194,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取木棍到容器里-俯腕视角/6月21日/6月21日.mp4,3838842,8323278AADEA5C3A793FC9F2F008DE29D1D73338B6C9661C4F5B747D31F590F6,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取木棍到容器里/6月19日(1)/6月19日(1).mp4,11418920,02A7E911DA5FCC7AD10D347CD4DBCA9DB98118DD3B7ACD50A5A4B8BB8940E4C4,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取玉米到锅里-俯腕视角/6月21日(2)/6月21日(2).mp4,3193178,835720E8C32953533F3AB79248A69C5199EA8CEFD39F9A761AD948CA1F8BD4FB,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取玉米到锅里-俯腕视角/6月21日/6月21日.mp4,3570359,F25546A286C7A7E56D40CD2916C9026A908928D7EB8A55D23CED45951D753C03,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/仿真环境单臂-抓取玉米到锅里/6月19日/6月19日.mp4,9296961,81FD98262FE6C46322524ADA28FC2AFCA93FCC0D4DD0EB6587197FE63B1FA90B,simulation-original-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000000.mp4,4670735,B23D47922BE8AC37D05972819217EFD179034DB724B3433C4DCD787D03C58AD3,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000001.mp4,4425817,B0EA4EAD28E897C305375E2B35FB28EC758BBB10ECE6CA9F5A4668FC50AE1125,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000002.mp4,4517913,572F7F5A84FD8DC9104D8D241DEC5CD167B1C292E6FFBAA06BA0B6D2C1F9F461,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000003.mp4,3844644,D14384F08DC3FCE34510B24D82579CDEAB7A37753C07647294F99BC70E4FBACD,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000004.mp4,4372489,E65639725D9A2F03C72E41020755A58934C764981A86CAB7E9CB45851EBB7CBA,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.front/episode_000005.mp4,7538141,2007BA68E98C665460FFCA2C7CFBF19C9A4B5161FF6C24BEDA21070086B67D3E,paired-real-front-video,external package only
data/虚拟与真实抓取放置实验/单臂抓取木棍到容器里/observation.images.wrist/episode_000000.mp4,1646150,33C710CC6BE044ECFFAA5E0D180E46D9D75404C6D9E0787A428783A49D53B417,paired-real-wrist-video,external package only
